Date,Open,High,Low,Close,Adj Close,Volume
2023-07-19,455.010009765625,456.42999267578125,454.1099853515625,455.20001220703125,447.5480041503906,65891700
2023-07-20,454.1700134277344,455.1000061035156,451.44000244140625,452.17999267578125,444.5787658691406,70591600
2023-07-21,453.9599914550781,454.1700134277344,452.1700134277344,452.17999267578125,444.5787658691406,71245400
2023-07-24,453.3699951171875,455.0400085449219,452.29998779296875,454.20001220703125,446.5648498535156,54023400
2023-07-25,453.9200134277344,456.739990234375,453.8699951171875,455.44000244140625,447.7839660644531,55191200
2023-07-26,454.4700012207031,456.989990234375,453.3800048828125,455.510009765625,447.852783203125,71052900
2023-07-27,459.0199890136719,459.44000244140625,451.54998779296875,452.489990234375,444.883544921875,92194400
2023-07-28,455.8800048828125,457.7799987792969,452.489990234375,456.9200134277344,449.2391052246094,80011800
2023-07-31,457.4100036621094,458.1600036621094,456.04998779296875,457.7900085449219,450.094482421875,62040400
2023-08-01,456.2699890136719,457.25,455.489990234375,456.4800109863281,448.8065185546875,55291500
2023-08-02,453.25,453.5199890136719,449.3500061035156,450.1300048828125,442.5632629394531,93933400
2023-08-03,448.0400085449219,450.7900085449219,447.3699951171875,448.8399963378906,441.2949523925781,64276100
2023-08-04,450.7200012207031,452.8999938964844,446.2699890136719,446.80999755859375,439.29901123046875,100052300
2023-08-07,448.7099914550781,450.8699951171875,447.989990234375,450.7099914550781,443.13348388671875,58357500
2023-08-08,448.0799865722656,450.70001220703125,445.2699890136719,448.75,441.2064208984375,71361300
2023-08-09,449.0299987792969,449.20001220703125,444.9599914550781,445.75,438.2568664550781,78789600
2023-08-10,448.19000244140625,451.70001220703125,444.70001220703125,445.9100036621094,438.4141540527344,93005500
2023-08-11,443.9700012207031,446.70001220703125,443.3500061035156,445.6499938964844,438.1585388183594,68664600
2023-08-14,444.70001220703125,448.1099853515625,444.3800048828125,448.1099853515625,440.5771789550781,47867400
2023-08-15,446.2699890136719,446.6400146484375,442.29998779296875,442.8900146484375,435.4449768066406,75707500
2023-08-16,442.4599914550781,444.17999267578125,439.5299987792969,439.6400146484375,432.24957275390625,80107200
2023-08-17,441.1600036621094,441.42999267578125,435.75,436.2900085449219,428.95587158203125,95711300
2023-08-18,433.3699951171875,437.57000732421875,433.010009765625,436.5,429.162353515625,98758400
2023-08-21,437.54998779296875,440.1099853515625,435.32000732421875,439.3399963378906,431.95458984375,68719000
2023-08-22,441.17999267578125,441.17999267578125,437.57000732421875,438.1499938964844,430.78460693359375,65062900
2023-08-23,439.25,443.6700134277344,439.1000061035156,443.0299987792969,435.5826110839844,68441000
2023-08-24,444.69000244140625,445.2200012207031,436.8599853515625,436.8900146484375,429.5458068847656,88517300
2023-08-25,438.67999267578125,441.29998779296875,435.0,439.9700012207031,432.5740051269531,102325100
2023-08-28,442.239990234375,443.3999938964844,439.9700012207031,442.760009765625,435.317138671875,61595400
2023-08-29,442.6499938964844,449.45001220703125,442.4599914550781,449.1600036621094,441.60955810546875,83081900
2023-08-30,449.510009765625,451.6700134277344,448.7799987792969,451.010009765625,443.428466796875,69053900
2023-08-31,451.6499938964844,452.8299865722656,450.1600036621094,450.3500061035156,442.7795715332031,66084600
2023-09-01,453.1700134277344,453.6700134277344,449.67999267578125,451.19000244140625,443.6054382324219,58875700
2023-09-05,450.7300109863281,451.05999755859375,449.1700134277344,449.239990234375,441.6882019042969,55166200
2023-09-06,448.3999938964844,448.510009765625,443.80999755859375,446.2200012207031,438.71893310546875,70758500
2023-09-07,443.1099853515625,445.54998779296875,442.75,444.8500061035156,437.3719787597656,70355400
2023-09-08,444.8999938964844,447.1099853515625,444.5299987792969,445.5199890136719,438.03070068359375,61659700
2023-09-11,448.239990234375,448.7699890136719,446.4700012207031,448.45001220703125,440.9115295410156,60180100
2023-09-12,446.95001220703125,448.5299987792969,445.3900146484375,445.989990234375,438.4927978515625,67565400
2023-09-13,446.2200012207031,447.7099914550781,445.0799865722656,446.510009765625,439.00408935546875,60199300
2023-09-14,449.07000732421875,451.0799865722656,447.7200012207031,450.3599853515625,442.7893981933594,83430800
2023-09-15,447.1400146484375,447.4800109863281,442.9200134277344,443.3699951171875,437.4544982910156,111761400
2023-09-18,443.04998779296875,444.9700012207031,442.55999755859375,443.6300048828125,437.7110290527344,55752200
2023-09-19,442.67999267578125,443.2900085449219,439.94000244140625,442.7099914550781,436.80328369140625,66514600
2023-09-20,444.010009765625,444.44000244140625,438.42999267578125,438.6400146484375,432.7876281738281,82562600
2023-09-21,435.70001220703125,435.9700012207031,431.2300109863281,431.3900146484375,425.6343688964844,103976100
2023-09-22,432.45001220703125,434.1000061035156,429.989990234375,430.4200134277344,424.6772766113281,100829700
2023-09-25,429.1700134277344,432.2699890136719,428.7200012207031,432.2300109863281,426.463134765625,70874500
2023-09-26,429.0899963378906,429.82000732421875,425.0199890136719,425.8800048828125,420.1978454589844,96168400
2023-09-27,427.0899963378906,427.6700134277344,422.2900085449219,426.04998779296875,420.3655700683594,104705800
2023-09-28,425.4800109863281,430.25,424.8699951171875,428.5199890136719,422.8026428222656,92258300
2023-09-29,431.6700134277344,431.8500061035156,425.9100036621094,427.4800109863281,421.7765197753906,115078500
2023-10-02,426.6199951171875,428.6000061035156,424.4599914550781,427.30999755859375,421.6087646484375,83798600
2023-10-03,425.05999755859375,427.3699951171875,420.17999267578125,421.5899963378906,415.965087890625,103760600
2023-10-04,422.07000732421875,425.42999267578125,420.55999755859375,424.6600036621094,418.9941711425781,87453000
2023-10-05,424.3599853515625,425.3699951171875,421.1700134277344,424.5,418.8363037109375,70142700
2023-10-06,421.9700012207031,431.1300048828125,420.6000061035156,429.5400085449219,423.80902099609375,113202700
2023-10-09,427.5799865722656,432.8800048828125,427.010009765625,432.2900085449219,426.5223388671875,80374400
2023-10-10,432.94000244140625,437.2200012207031,432.5299987792969,434.5400085449219,428.7423400878906,78607300
2023-10-11,435.6400146484375,436.5799865722656,433.17999267578125,436.32000732421875,430.49853515625,62451700
2023-10-12,436.95001220703125,437.3399963378906,431.2300109863281,433.6600036621094,427.87408447265625,81154200
2023-10-13,435.2099914550781,436.45001220703125,429.8800048828125,431.5,425.7428894042969,95143100
2023-10-16,433.82000732421875,437.1400146484375,433.57000732421875,436.0400085449219,430.2222900390625,75433200
2023-10-17,432.80999755859375,438.1400146484375,432.45001220703125,436.0199890136719,430.2025451660156,75324700
2023-10-18,434.19000244140625,435.17999267578125,429.0899963378906,430.2099914550781,424.4700622558594,93559800
2023-10-19,430.95001220703125,432.82000732421875,425.7300109863281,426.42999267578125,420.7405090332031,121323000
2023-10-20,425.9800109863281,426.5400085449219,421.0799865722656,421.19000244140625,415.5704345703125,123845800
2023-10-23,419.6099853515625,424.45001220703125,417.79998779296875,420.4599914550781,414.85015869140625,92035100
2023-10-24,422.6499938964844,424.82000732421875,420.739990234375,423.6300048828125,417.9778747558594,78564200
2023-10-25,421.8900146484375,421.9200134277344,417.0199890136719,417.54998779296875,411.97900390625,94223200
2023-10-26,416.45001220703125,417.3299865722656,411.6000061035156,412.54998779296875,407.0456848144531,115156800
2023-10-27,414.19000244140625,414.6000061035156,409.2099914550781,410.67999267578125,405.2006530761719,107367700
2023-10-30,413.55999755859375,416.67999267578125,412.2200012207031,415.5899963378906,410.0451354980469,86562700
2023-10-31,416.17999267578125,418.5299987792969,414.2099914550781,418.20001220703125,412.620361328125,79665200
2023-11-01,419.20001220703125,423.5,418.6499938964844,422.6600036621094,417.0208435058594,98068100
2023-11-02,426.5799865722656,430.9200134277344,426.55999755859375,430.760009765625,425.01275634765625,94938900
2023-11-03,433.1400146484375,436.2900085449219,433.010009765625,434.69000244140625,428.89031982421875,100110800
2023-11-06,435.4700012207031,436.1499938964844,433.67999267578125,435.69000244140625,429.876953125,67831700
2023-11-07,435.69000244140625,437.5899963378906,434.510009765625,436.92999267578125,431.10040283203125,64256100
2023-11-08,437.54998779296875,438.0899963378906,434.8699951171875,437.25,431.4161682128906,61746000
2023-11-09,438.42999267578125,438.4700012207031,433.3999938964844,433.8399963378906,428.0516662597656,83174400
2023-11-10,435.9800109863281,440.92999267578125,433.8299865722656,440.6099853515625,434.7312927246094,89462200
2023-11-13,439.2300109863281,441.3299865722656,438.4200134277344,440.19000244140625,434.31695556640625,52236100
2023-11-14,446.32000732421875,450.05999755859375,446.0899963378906,448.7300109863281,442.7430419921875,97176900
2023-11-15,450.1099853515625,451.3800048828125,448.79998779296875,449.67999267578125,443.6803283691406,77327600
2023-11-16,449.2200012207031,450.55999755859375,448.1199951171875,450.2300109863281,444.22296142578125,66665800
2023-11-17,450.239990234375,451.4200134277344,449.2900085449219,450.7900085449219,444.7755126953125,83133200
2023-11-20,450.5299987792969,455.1300048828125,450.5199890136719,454.260009765625,448.1992492675781,69936200
2023-11-21,453.17999267578125,454.1300048828125,451.9599914550781,453.2699890136719,447.2224426269531,49244600
2023-11-22,454.9800109863281,456.3800048828125,453.8900146484375,455.0199890136719,448.9490661621094,59394900
2023-11-24,455.07000732421875,455.5,454.7300109863281,455.29998779296875,449.2253112792969,29737400
2023-11-27,454.6499938964844,455.489990234375,454.0799865722656,454.4800109863281,448.4162902832031,50506000
2023-11-28,454.0799865722656,456.2699890136719,453.5,454.92999267578125,448.8602294921875,62115000
2023-11-29,457.1499938964844,458.32000732421875,454.20001220703125,454.6099853515625,448.5445556640625,63146000
2023-11-30,455.4800109863281,456.760009765625,453.3399963378906,456.3999938964844,450.3106384277344,79752700
2023-12-01,455.7699890136719,459.6499938964844,455.1600036621094,459.1000061035156,452.9746398925781,89097900
2023-12-04,455.6000061035156,459.1199951171875,454.3399963378906,456.69000244140625,450.5967712402344,72430900
2023-12-05,455.260009765625,457.5899963378906,454.8699951171875,456.6000061035156,450.50799560546875,69793500
2023-12-06,458.80999755859375,458.8399963378906,454.30999755859375,454.760009765625,448.69256591796875,69124700
2023-12-07,456.9100036621094,458.8999938964844,456.2900085449219,458.2300109863281,452.11627197265625,66995400
2023-12-08,457.4599914550781,460.75,457.2099914550781,460.20001220703125,454.0599670410156,83080900
2023-12-11,459.69000244140625,462.1700134277344,459.4700012207031,461.989990234375,455.8260803222656,65002200
2023-12-12,461.6300048828125,464.20001220703125,460.6000061035156,464.1000061035156,457.907958984375,68327600
2023-12-13,464.489990234375,470.760009765625,464.1199951171875,470.5,464.2225341796875,93278000
2023-12-14,472.5,473.7300109863281,469.25,472.010009765625,465.71240234375,119026000
2023-12-15,469.489990234375,470.70001220703125,467.42999267578125,469.3299865722656,464.9455871582031,141319300
2023-12-18,470.9800109863281,472.9800109863281,469.8900146484375,471.9700012207031,467.5609436035156,70375300
2023-12-19,472.5299987792969,474.9200134277344,472.45001220703125,474.8399963378906,470.40411376953125,55761800
2023-12-20,473.9599914550781,475.8999938964844,467.82000732421875,468.260009765625,463.8856201171875,102921000
2023-12-21,471.3299865722656,472.9800109863281,468.8399963378906,472.70001220703125,468.28411865234375,86667500
2023-12-22,473.8599853515625,475.3800048828125,471.70001220703125,473.6499938964844,469.2252502441406,67126600
2023-12-26,474.07000732421875,476.5799865722656,473.989990234375,475.6499938964844,471.2065734863281,55387000
2023-12-27,475.44000244140625,476.6600036621094,474.8900146484375,476.510009765625,472.05853271484375,68000300
2023-12-28,476.8800048828125,477.54998779296875,476.260009765625,476.69000244140625,472.2368469238281,77158100
2023-12-29,476.489990234375,477.0299987792969,473.29998779296875,475.30999755859375,470.8697204589844,122234100
2024-01-02,472.1600036621094,473.6700134277344,470.489990234375,472.6499938964844,468.2345886230469,123623700
2024-01-03,470.42999267578125,471.19000244140625,468.1700134277344,468.7900085449219,464.4106750488281,103585900
2024-01-04,468.29998779296875,470.9599914550781,467.04998779296875,467.2799987792969,462.9147644042969,84232200
2024-01-05,467.489990234375,470.44000244140625,466.42999267578125,467.9200134277344,463.5487976074219,86060800
2024-01-08,468.42999267578125,474.75,468.29998779296875,474.6000061035156,470.1664123535156,74879100
2024-01-09,471.8699951171875,474.92999267578125,471.3500061035156,473.8800048828125,469.453125,65931400
2024-01-10,474.1600036621094,477.45001220703125,473.8699951171875,476.55999755859375,472.1080627441406,67310600
2024-01-11,477.5899963378906,478.1199951171875,472.260009765625,476.3500061035156,471.9000244140625,77940700
2024-01-12,477.8399963378906,478.6000061035156,475.2300109863281,476.67999267578125,472.2269287109375,57944000
2024-01-16,475.260009765625,476.6099853515625,473.05999755859375,474.92999267578125,470.4932556152344,85014900
2024-01-17,471.82000732421875,472.7900085449219,469.8699951171875,472.2900085449219,467.87799072265625,68843900
2024-01-18,474.010009765625,477.05999755859375,472.4200134277344,476.489990234375,472.0386962890625,91856200
2024-01-19,477.6499938964844,482.7200012207031,476.5400085449219,482.42999267578125,477.9232177734375,110733300
2024-01-22,484.010009765625,485.2200012207031,482.7799987792969,483.45001220703125,478.9337158203125,75844900
2024-01-23,484.010009765625,485.1099853515625,482.8900146484375,484.8599853515625,480.33050537109375,49945300
2024-01-24,487.80999755859375,488.7699890136719,484.8800048828125,485.3900146484375,480.8555603027344,81765000
2024-01-25,487.5799865722656,488.30999755859375,485.3900146484375,488.0299987792969,483.4709167480469,72525000
2024-01-26,487.5899963378906,489.1199951171875,486.5400085449219,487.4100036621094,482.8567199707031,76641600
